ID,Category,Title,Description,Link,Timeline
1,Career & Internships,Create Your Handshake Profile,"Log into Handshake via CSUN and set up your profile to find internships, jobs, and campus events tailored to your major.",https://csun.joinhandshake.com,Week 1–4 (Start)
2,Career & Internships,Use the CSUN Career Center,"Schedule a résumé review, mock interview, or career coaching session with the CSUN Career Center. It's all free!",https://www.csun.edu/career,Week 5–8 (Mid-Semester)
3,Career & Internships,Don’t Miss the Job Fairs,Check the Career Center’s calendar for CSUN’s job fairs. Bring your résumé — you never know who’s hiring!,https://www.csun.edu/career,Anytime
4,Career & Internships,Sign Up for CareerLink,Get curated internship and job listings from CSUN directly to your inbox. Sign up at the Career Center website.,https://www.csun.edu/career,Anytime
5,Wellness & Mental Health,Free Therapy Sessions at CSUN,"University Counseling Services offers free therapy. Book appointments through the UCS portal or visit Bayramian Hall, 5th floor.",https://www.csun.edu/counseling,Anytime
6,Wellness & Mental Health,Attend Wellness Workshops,Check out UCS’s workshops on topics like test anxiety and mindfulness. You’ll leave feeling 10x more balanced.,https://www.csun.edu/counseling,Anytime
7,Wellness & Mental Health,Explore YOU@CSUN,"Log in to you.csun.edu for 24/7 access to mental health tips, stress support, and personal growth resources.",,Anytime
8,Campus Life,Find Your Club on MataSync,Explore hundreds of student clubs and organizations on MataSync. There’s one for almost everything — seriously.,https://csun.campuslabs.com/engage/,Anytime
9,Campus Life,Matador Nights = Vibes,"Don’t miss CSUN’s free late-night event with food, DJs, games, and prizes. Check AS for the next one!",,Anytime
10,Campus Life,Visit Your Associated Students,Need help with campus life or funding ideas? AS is your go-to. Visit the AS Ticket Office in the USU.,,Anytime
11,Transportation,Check Parking in Real-Time,Download the CSUN app and see which lots are full before you even leave your house. Game-changer.,,Anytime
12,Transportation,Get a Metro U-Pass,Get unlimited Metro rides at a student discount through CSUN. Available at the Transit Center by Bayramian Hall.,,Anytime
13,Transportation,Bike Parking at CSUN,Use CSUN’s secure Matador Bicycle Compound — you just need to register your bike first through the PPM website.,https://www.csun.edu/ppm/matador-bicycle-compound,Anytime
14,Registration & Deadlines,Know Your Enrollment Date,Find your registration appointment in the CSUN Portal under 'Enroll in a Class' so you don’t miss out on the good classes.,https://portal.csun.edu,Week 1–4 (Start)
15,Registration & Deadlines,Use the Waitlist Feature,"If your class is full, join the waitlist. You’ll get added automatically if a spot opens up — magic!",,Anytime
16,Registration & Deadlines,Track Drop/Withdrawal Dates,"Bookmark CSUN’s Academic Calendar so you never miss key drop, add, or withdrawal deadlines.",https://www.csun.edu/admissions-records/academic-calendar,Anytime
